operator_address,consensus_pubkey,jailed,status,tokens,delegator_shares,description,unbonding_height,unbonding_time,commission,min_self_delegation,unbonding_on_hold_ref_count,unbonding_ids,validator_bond_shares,liquid_shares
cosmosvaloper1qphf0ferqcch0jca9hlqfm3x0eds3dpkcvpafp,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'voVoXB0ArzZ57NgZgyAhrwa0mVabPijeqT0ebQJYPPc='}",False,BOND_STATUS_UNBONDED,1286400,1286400.000000000000000000,"{'moniker': 'test kim', 'identity': '', 'website': '', 'security_contact': '', 'details': ''}",0,1970-01-01T00:00:00Z,"{'commission_rates': {'rate': '0.100000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2022-12-20T07:59:27.494716670Z'}",1000000,0,[],0.000000000000000000,10000.000000000000000000
cosmosvaloper1qr6sk28w4r6kqsg0737wzgu05505t4glezetwn,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'zNdZ387kZrZFhZZ5G8oJR1b7hVgnKa3ZOJK7Ha05DUM='}",False,BOND_STATUS_UNBONDED,82141617,82141617.000000000000000000,"{'moniker': 'Equinox', 'identity': '048733E2C6061B87', 'website': 'https://www.equinoxdao.xyz', 'security_contact': '', 'details': 'Cosmos Equinox validator'}",0,1970-01-01T00:00:00Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2024-03-20T10:40:35.784132044Z'}",0,0,[],0.000000000000000000,0.000000000000000000
cosmosvaloper1q9p73lx07tjqc34vs8jrsu5pg3q4ha534uqv4w,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'Y3FwPLeVHUhR+Or59OJ1SCq0OiS/tBye2YdKA3dzy/s='}",False,BOND_STATUS_UNBONDED,112892992,112892992.000000000000000000,"{'moniker': 'Unstake as we will shut down', 'identity': 'C58922A0F158B2D1', 'website': 'https://www.3stakes.com', 'security_contact': 'support@3stakes.com', 'details': '3Stakes.com is a Dutch team validating in the Ecosystem. Our operations will be CO2 neutral as we will offset any emissions created from our operations. We will be looking to create validators for new chains in the Cosmos ecosystem and participate in testnets.'}",10150222,2022-05-08T10:37:31.108207984Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.100000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2022-04-15T08:52:23.793881126Z'}",1,0,[],0.000000000000000000,10000.000000000000000000
cosmosvaloper1qgju44qz5e2y2v9azkqfs8n7d97lg97008qgjz,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'giyspSi9QoGIGXeNKniALJcvMDq9333BwRJSFvOCaP0='}",False,BOND_STATUS_UNBONDED,56594256,56594256.000000000000000000,"{'moniker': 'nysa.network', 'identity': 'F7E5A47BC1D9F95B', 'website': 'https://nysa.network', 'security_contact': 'contact@nysa.network', 'details': 'Safe and secure interchain validator'}",0,1970-01-01T00:00:00Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.050000000000000000'}, 'update_time': '2022-10-28T16:48:33.762859295Z'}",1,0,[],0.000000000000000000,0.000000000000000000
cosmosvaloper1q2v728c5g8ggvrr7dgc4madt9px2hlpdxpfmug,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': '4qphWCf8W4x9dQM6KP8zx6FFnWov27Y3iyp2GzHP4hA='}",False,BOND_STATUS_UNBONDED,5004000,5004000.000000000000000000,"{'moniker': 'ContributionDAO', 'identity': '3034BD2560DD86B4', 'website': 'https://contributiondao.com', 'security_contact': '', 'details': 'Bootstrapping Quality Talents and Onboarding Users to the Projects for making opportunities in Web 3.0 accessible to everyone.'}",0,1970-01-01T00:00:00Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2023-09-21T09:47:03.391870450Z'}",0,0,[],0.000000000000000000,0.000000000000000000
cosmosvaloper1qtxec3ggeuwnca9mmngw7vf6ctw54cppey02fs,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'eM06fEUTaklyswDIY1gd40S91PpMqV+laD6o0l582k8='}",True,BOND_STATUS_UNBONDED,395696925,395734761.175836882372258342,"{'moniker': 'tokenpocket', 'identity': '', 'website': 'https://www.tokenpocket.pro/', 'security_contact': '', 'details': 'Your universal digital wallet, Multi-chain digital wallet, portal to DApp ecosystem'}",19106,2020-01-03T05:40:24.513254493Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2024-03-20T10:40:35.784132044Z'}",1,0,[],0.000000000000000000,10000.956261370073061623
cosmosvaloper1qdxmyqkvt8jsxpn5pp45a38ngs36mn2604cqk9,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': '2BX6Zuj8RmdJAkD1BAg6KB0v04liyM7jBdwOGIb9F9Q='}",True,BOND_STATUS_UNBONDED,2490313588,2490313588.000000000000000000,"{'moniker': '真本聪&IOSG', 'identity': '8A79F44CC25D26DF', 'website': 'realsatoshi.net', 'security_contact': '', 'details': 'To The Moon Then Cosmos. We are a crypto community and venture capital combined staking service provider'}",4931426,2021-02-16T09:31:22.415989779Z,"{'commission_rates': {'rate': '0.100000000000000000', 'max_rate': '1.000000000000000000', 'max_change_rate': '1.000000000000000000'}, 'update_time': '2019-08-05T07:24:32.572614545Z'}",1,0,[],0.000000000000000000,10000.000000000000000000
cosmosvaloper1qwl879nx9t6kef4supyazayf7vjhennyh568ys,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'cOQZvh/h9ZioSeUMZB/1Vy1Xo5x2sjrVjlE/qHnYifM='}",True,BOND_STATUS_UNBONDED,263406230088,263406230088.000000000000000000,"{'moniker': 'Certus One', 'identity': 'ABD51DF68C0D1ECF', 'website': 'https://certus.one', 'security_contact': '', 'details': 'Stake and earn rewards with the most secure and stable validator. Winner of the Game of Stakes. Operated by nexantic GmbH. By delegating, you confirm that you are aware of the risk of slashing and that nexantic GmbH is not liable for any potential damages to your investment.'}",15909213,2023-07-19T12:22:56.081015927Z,"{'commission_rates': {'rate': '0.125000000000000000', 'max_rate': '0.300000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2019-03-13T23:00:00Z'}",1,0,"['51100', '80800']",5000.000000000000000000,20000.000000000000000000
cosmosvaloper1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z52uzay,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'hATVIEvJ1NEt5g9i59iH+a8oaEFtErP227Qw7kgpWTc='}",True,BOND_STATUS_UNBONDED,25827206297,25829789218.695245680217355911,"{'moniker': 'Castlenode', 'identity': 'F685CC35D748424C', 'website': 'https://www.castlenode.com/cosmos', 'security_contact': '', 'details': 'Castlenode is a validator operator focused on security and run by experienced professionals. Please read our Terms and Conditions on our website before delegating'}",21876939,2024-09-14T13:06:37.165358191Z,"{'commission_rates': {'rate': '0.090000000000000000', 'max_rate': '0.500000000000000000', 'max_change_rate': '0.050000000000000000'}, 'update_time': '2019-03-13T23:00:00Z'}",1,0,"['19336', '43930', '52030', '125709', '127564', '128616', '131427', '131515', '131822', '152607', '175873', '202065', '354218', '365425', '449445', '452129', '472935', '499173', '517854', '562488', '572400', '574532', '583662', '584121', '585215', '596824', '597637', '626775', '628053', '628302', '646223', '711731', '719564', '729437', '730009', '730816', '732598', '743703', '749811', '753749', '757069', '833079', '839088', '842171']",1000.000000000000000000,20007.000821718307489671
cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,"{'@type': '/cosmos.crypto.ed25519.PubKey', 'key': 'uEUR1gpesU4bnSWL2TOXOf3org2mCYhQHMYkiCJyMD4='}",False,BOND_STATUS_BONDED,1031488318958,1031488318958.000000000000000000,"{'moniker': 'Ubik Capital', 'identity': '8265DEAF50B61DF7', 'website': 'https://www.ubik.capital', 'security_contact': '', 'details': 'Ubik Capital secures major proof of stake networks and is a trusted staking provider with years of industry experience. By delegating to us, you agree to the Terms of Service at: https://ubik.capital'}",16925816,2023-09-30T06:17:37.572905825Z,"{'commission_rates': {'rate': '0.050000000000000000', 'max_rate': '0.200000000000000000', 'max_change_rate': '0.010000000000000000'}, 'update_time': '2024-03-20T10:40:35.784132044Z'}",1,0,['131285'],450000000.000000000000000000,7958844908.000000000000000000
